,Team1,1pts,Team2,2pts
171,Houston Rockets,111,San Antonio Spurs,98
172,Los Angeles Clippers,103,Golden State Warriors,105
173,Chicago Bulls,95,Brooklyn Nets,78
174,Atlanta Hawks,127,Cleveland Cavaliers,125
175,Memphis Grizzlies,92,Houston Rockets,100
176,San Antonio Spurs,116,Dallas Mavericks,107
177,Los Angeles Clippers,112,Portland Trail Blazers,116
178,Oklahoma City Thunder,89,Charlotte Bobcats,85
179,Detroit Pistons,92,Orlando Magic,109
180,Milwaukee Bucks,93,Brooklyn Nets,104
181,Toronto Raptors,95,New York Knicks,83
182,Washington Wizards,98,Minnesota Timberwolves,120
183,Denver Nuggets,89,New Orleans Pelicans,105
184,Los Angeles Lakers,103,Utah Jazz,105
185,Miami Heat,103,Sacramento Kings,108
186,Phoenix Suns,86,Golden State Warriors,115
187,Cleveland Cavaliers,100,Boston Celtics,103
188,Brooklyn Nets,91,Indiana Pacers,105
189,New York Knicks,100,Toronto Raptors,115
190,Detroit Pistons,82,Washington Wizards,106
191,Charlotte Bobcats,116,Atlanta Hawks,118
192,Dallas Mavericks,105,Chicago Bulls,83
193,New Orleans Pelicans,98,Houston Rockets,107
194,Denver Nuggets,99,Memphis Grizzlies,120
195,Minnesota Timberwolves,117,Milwaukee Bucks,95
196,Philadelphia 76ers,101,Phoenix Suns,115
197,Miami Heat,108,Portland Trail Blazers,107
198,Utah Jazz,90,Los Angeles Clippers,98
199,Golden State Warriors,108,Cleveland Cavaliers,104
200,Atlanta Hawks,102,Orlando Magic,109
201,Houston Rockets,86,Oklahoma City Thunder,117
202,Sacramento Kings,104,San Antonio Spurs,112
203,Philadelphia 76ers,111,Los Angeles Lakers,104
204,Washington Wizards,106,Detroit Pistons,99
205,Chicago Bulls,95,Memphis Grizzlies,91
206,Dallas Mavericks,100,Minnesota Timberwolves,98
207,Portland Trail Blazers,108,New Orleans Pelicans,110
208,Miami Heat,97,Denver Nuggets,94
209,Charlotte Bobcats,80,Utah Jazz,83
210,Phoenix Suns,107,Los Angeles Clippers,88
211,Atlanta Hawks,92,Boston Celtics,91
212,Cleveland Cavaliers,76,Indiana Pacers,91
213,Golden State Warriors,94,Orlando Magic,81
214,Sacramento Kings,110,Houston Rockets,106
215,Brooklyn Nets,92,San Antonio Spurs,113
216,Toronto Raptors,85,Chicago Bulls,79
217,Portland Trail Blazers,98,Oklahoma City Thunder,94
218,Milwaukee Bucks,94,Los Angeles Lakers,79
