,Team1,1pts,Team2,2pts
174,Minnesota Timberwolves,95,Charlotte Bobcats,108
175,Washington Wizards,82,Indiana Pacers,99
176,Utah Jazz,113,Toronto Raptors,87
177,Sacramento Kings,79,New Jersey Nets,93
178,Philadelphia 76ers,101,Milwaukee Bucks,86
179,Cleveland Cavaliers,105,New Orleans Hornets,92
180,Houston Rockets,104,Oklahoma City Thunder,122
181,Los Angeles Lakers,92,San Antonio Spurs,83
182,Memphis Grizzlies,110,Golden State Warriors,128
183,Miami Heat,103,Chicago Bulls,74
184,Los Angeles Clippers,99,Houston Rockets,93
185,Dallas Mavericks,89,Portland Trail Blazers,101
186,Washington Wizards,96,Charlotte Bobcats,107
187,Utah Jazz,106,Indiana Pacers,122
188,Minnesota Timberwolves,97,Orlando Magic,106
189,Atlanta Hawks,98,Philadelphia 76ers,105
190,Denver Nuggets,97,Toronto Raptors,96
191,Sacramento Kings,86,Boston Celtics,94
192,Detroit Pistons,110,New Jersey Nets,118
193,Los Angeles Lakers,75,Oklahoma City Thunder,91
194,Miami Heat,87,Milwaukee Bucks,74
195,Cleveland Cavaliers,97,San Antonio Spurs,102
196,New York Knicks,96,Phoenix Suns,132
197,Utah Jazz,103,Washington Wizards,87
198,New Jersey Nets,83,Chicago Bulls,106
199,Portland Trail Blazers,112,New Orleans Hornets,101
200,Los Angeles Lakers,109,Houston Rockets,101
201,Dallas Mavericks,111,Golden State Warriors,90
202,Sacramento Kings,90,Cleveland Cavaliers,97
203,Memphis Grizzlies,103,Milwaukee Bucks,108
204,Indiana Pacers,84,Atlanta Hawks,94
205,Chicago Bulls,110,Detroit Pistons,103
206,Toronto Raptors,94,Miami Heat,97
207,Denver Nuggets,97,Orlando Magic,103
208,Phoenix Suns,111,Minnesota Timberwolves,105
209,Portland Trail Blazers,92,Oklahoma City Thunder,87
210,San Antonio Spurs,94,Boston Celtics,73
211,Golden State Warriors,121,Los Angeles Clippers,103
212,Toronto Raptors,103,Charlotte Bobcats,101
213,San Antonio Spurs,84,New Jersey Nets,90
214,Los Angeles Lakers,100,New Orleans Hornets,108
215,Denver Nuggets,93,Dallas Mavericks,109
216,New York Knicks,98,Utah Jazz,103
217,Sacramento Kings,95,Indiana Pacers,102
218,Oklahoma City Thunder,111,Philadelphia 76ers,93
219,Phoenix Suns,111,Chicago Bulls,105
220,Los Angeles Clippers,89,Milwaukee Bucks,107
221,Washington Wizards,94,Houston Rockets,98
222,Los Angeles Lakers,92,Atlanta Hawks,109
223,Philadelphia 76ers,84,Charlotte Bobcats,103
224,Milwaukee Bucks,98,Cleveland Cavaliers,101
225,Los Angeles Clippers,92,Toronto Raptors,114
226,Oklahoma City Thunder,109,Boston Celtics,104
227,Miami Heat,98,Detroit Pistons,81
228,Phoenix Suns,116,New Jersey Nets,105
229,Dallas Mavericks,106,Memphis Grizzlies,102
230,Sacramento Kings,99,Minnesota Timberwolves,108
231,Washington Wizards,96,New Orleans Hornets,91
232,Houston Rockets,102,San Antonio Spurs,119
233,New York Knicks,90,Portland Trail Blazers,118
234,Golden State Warriors,104,Utah Jazz,128
